IC,NNG,JKB,JKS,NP,JX,MAG,VA,EC,VV,VX,XSN,VA-I,JKO,EF,VV-I,ETM,SF,VCP,XSA-I,XSV,VCN,XR,NNB,EP,MAJ,VV-R,SL,SN,MM,ETN,JKG,NNP,XSA,JC,NR,Z_CODA,JKC,XPN,VA-R,JKQ,JKV,SSC
뭐,반,에,이,나,는,따로,있,다가,알,않,님,어떻,를,어,듣,ᆫ,.,이,스럽,하,아니,광활,년,었,근데,받,name,1,그,기,의,티아,하,이나,사,ᆯ,이,제,,라고,,
그,부담,하고,이,뭐,는,다,있,지,하,지,층,그렇,을,야,묻,는,.,이,스럽,하,아니,수려,년,었,그러니까,받,name,3,그,기,의,엠비,하,이나,하나,ᇂ,이,저,,,,
어,자연,에,이,나,도,따로따로,늦,다고,되,하,적,어떻,를,어,묻,ᆫ,?,이,스럽,하,아니,깔끔,거,겠,그래도,받,name,3,그,기,의,티아,하,나,몇,ᆼ,가,생,,,,
뭐,시간,와,이,그거,는,따로따로,크,면서,잊,않,씩,이렇,ᆯ,어,듣,ᆫ,?,이,스럽,하,아니,답답,거,었,그리고,받,affiliation,3,그,기,의,엠비,하,나,구,ᆷ,이,제,,,,
뭐,제한,에,가,나,ᆫ,다,없,게,잊,있,들,새롭,를,나,듣,ᆫ,?,이,스럽,하,아니,한적,거,었,그래서,받,address,2,그런,기,의,티아,하,나,일,ᆻ,가,제,,,,
뭐,하루,에,이,나,는,조금,같,면서,하,지,들,그렇,을,는다,듣,은,.,이,롭,하,아니,비슷,세,었,그래서,얻,address,2,그,기,의,엠비,하,이나,하나,ᇀ,이,대,,,,
이제,이틀,에,이,당신,은,훨씬,늦,고,하,지,들,그렇,ᆯ,ᆫ다,짓,는,.,이,스럽,하,아니,만만,거,었,근데,받,xxxxx,3,그런,기,의,티아,하,나,십,ᆻ,이,대,,,,
뭐,자연,에,가,그거,도,많이,늦,으니까,하,보,들,그렇,ᆯ,지,걷,ᆯ,.,이,스럽,하,아니,불구,거,었었,그리고,얻,art,2,그,기,의,제이,하,과,십,ᆻ,가,대,,,,
뭐,주변,처럼,이,그것,ᆫ,쪼끔,많,는데,원하,싶,네,그렇,을,지,짓,ᆫ,.,이,스럽,되,아니,멀쩡,것,었,하여간,받,art,30,몇,기,의,엠비,하,이나,몇,ᆼ,이,무,,,,
어,사람,에,이,그것,는,많이,같,지만,하,않,들,그렇,ᆯ,잖아,짓,ᆫ,.,이,스럽,하,아니,꿉꿉,거,었,근데,얻,art,4,그,기,의,티아,하,이랑,하나,ᆼ,이,제,,,,
뭐,큰딸,으로,이,나,는,벌써,늦,게,위하,하,적,그렇,ᆯ,ᆫ가,짓,ᆫ,?,이,스럽,하,아니,확실,거,었,근데,잡,art,1950,어떤,기,의,미국,하,나,하나,ᆼ,이,대,,,,
음,결혼,에서,이,언제,도,좀,적,는데,하,하,들,이렇,를,어,짓,을,.,이,스럽,하,아니,확실,외,었,그리고,잡,art,1,그,기,의,미국,하,이나,하나,ᆻ,이,대,,,,
음,인재,에,가,그,도,많이,같,나,되,하,들,그렇,를,어,묻,는,.,이,스럽,하,아니,궁금,거,었었,그래서,웃,art,30,무슨,기,의,유럽,하,나,하나,ᆼ,이,맨,,,,
음,간,에,이,그것,도,좀,없,는지,바꾸,하,적,그렇,ᆯ,더라고,듣,는,.,이,스럽,하,아니,맞이,거,었,그래서,뽑,art,30,그런,기,의,엠비,하,이나,만,ᆼ,가,구,,,,
음,연애,에,가,당신,도,이제,같,다고,정하,있,이,어떻,를,지,묻,는,.,이,스럽,하,아니,불구,거,겠,그래서,잡,name,1,그런,기,의,티아,하,이나,수십,ᆻ,가,제,,,,
이제,지금,에,이,우리,는,또,없,어서,정하,보,이,어떻,을,어,듣,는,?,이,스럽,하,아니,지저분,거,었,그래서,잡,name,1,무슨,기,의,제이,하,나,만,ᆯ,이,무,,,,
예,사무실,에서,가,당신,는,언제,같,어야,하,놓,들,그렇,을,어,듣,는,.,이,스럽,하,아니,충분,거,었,그리고,뽑,name,3,그,기,의,제이,하,이라든가,둘,ᆻ,이,초,,,,
뭐,근무,에,이,나,ᆫ,쪼끔,좋,고,하,싶,이,어떻,을,지,묻,는,.,이,스럽,하,아니,강,수,었었,근데,뽑,name,20,그,기,의,정해진,하,이나,사,ᆼ,가,저,,,,
어,처음,에,이,우리,는,많이,좋,니까,찍,않,적,그렇,을,다,짓,는,.,이,스럽,하,아니,서먹서먹,데,었,그럼,잡,name,2,그,기,의,엠비,하,나,몇,ᆻ,이,초,,,,
뭐,근무,에,이,당신,까지,미리,많,으면,알,계시,들,어떻,을,어,묻,ᆫ,?,이,스럽,하,아니,소중,거,겠,그런데,잡,name,1,무슨,기,의,티아,하,랑,둘,ᆻ,이,불,,,,
뭐,부서,에,이,뭐,ᆫ,꽤,있,어서,하,놓,이,어떻,를,어,묻,는,.,이,롭,하,아니,유복,거,겠,그리고,믿,name,1,그,기,의,엠비,하,랑,하나,,이,대,,,,
아,동안,에,가,그것,ᆫ,많이,나쁘,지,하,놓,들,어떻,를,지,묻,ᆯ,.,이,스럽,하,아니,뚱뚱,거,었,근데,믿,name,5,몇,기,의,티아,하,랑,둘,,가,불,,,,
그,작년,으로,가,그거,ᆫ,계속,있,지만,들,하,이,어떻,ᆯ,지,싣,는,.,이,롭,하,아니,적당,거,었,그런데,받,name,10,어떤,기,의,엠비,하,이나,둘,,가,제,,,,
그래,결혼,에서,이,그것,은,혹시,없,어,하,하,들,어떻,를,네,묻,는,.,이,스럽,하,아니,적당,거,시,그래서,믿,name,1,그,기,의,티아,하,나,둘,,가,무,,,,
그,나중,에,이,뭐,는,혹시,좋,어,하,않,적,어떻,를,어,듣,은,.,이,스럽,하,아니,어떠,거,겠,그래서,받,name,1,이런,기,의,엠비,하,나,하나,,이,제,,,,
뭐,결혼,에,이,고거,는,좀,같,고,하,하,적,어떻,를,네,걷,ᆫ,.,이,롭,하,아니,어색,때문,었,그래서,받,name,1,다른,ᆷ,의,티아,하,나,하나,,가,제,,,,
뭐,그때,에,이,그거,도,우선,많,고,하,않,쯤,새롭,을,더라고,듣,을,?,이,스럽,하,아니,깔끔,거,었,그래서,닫,name,1,그런,기,의,엠비,하,이나,넷,,이,저,,,,
뭐,결혼식,에,이,그거,도,안,있,어서,보,있,이,이렇,을,잖아,듣,ᆯ,.,이,스럽,하,아니,심각,거,으시,그래서,받,name,1,이런,기,의,티아,하,이나,둘,,가,제,,,,
뭐,풍경,에,가,거기,는,인제,있,어,들어가,있,들,그렇,를,더라고,짓,는,.,이,스럽,하,아니,쿵쾅,것,었,근데,닫,name,4,그,기,의,엠비,하,랑,삼,,이,고,,,,
뭐,결혼식,에,이,그거,는,쪼끔,없,는데,트,보,들,어떻,을,어,짓,ᆫ,.,이,스럽,하,아니,생소,수,시,근데,받,name,1,그,기,의,티아,하,이랑,둘,,가,제,,,,
뭐,사람,에,가,고거,뿐,안,없,는데,지나,놓,적,이렇,를,어,듣,ᆯ,.,이,스럽,하,아니,굉장,수,으시,또,받,name,20,그,기,의,엠비,하,라든가,둘,,이,제,,,,
뭐,풍경,에서,이,우리,만,쪼끔,같,지만,달라지,오,이,어떻,을,어,듣,ᆯ,.,이,스럽,되,아니,아늑,것,었,근데,받,name,0,이,기,의,티아,하,라든가,둘,,이,재,,,,
뭐,결혼,에,가,나,부터,쪼끔,같,어서,가,않,들,가깝,를,나,듣,는,.,이,스럽,하,아니,적절,거,었,그래서,뺏,name,1,여러,기,의,제이,하,와,둘,,이,최,,,,
뭐,때,에,이,거기,는,지금,있,고,찌,보,들,그렇,을,어,듣,는,.,이,스럽,하,아니,후련,때문,었,그리고,받,xx,1,그런,기,의,엠비,하,와,하나,,이,무,,,,
뭐,전,에,이,그거,는,많이,같,어,보,하,적,이렇,를,어,듣,을,.,이,롭,하,아니,만만,거,시,근데,받,name,1,모든,기,의,티아,되,와,둘,,가,무,,,,
뭐,예약,에,이,그거,ᆫ,안,없,어서,낳,두,적,저렇,을,지,눕,는,.,이,롭,하,아니,민망,것,었,그리고,받,name,2,그,기,의,엠비,하,랑,몇,,가,무,,,,
뭐,요즘,로,가,나,은,아예,좋,는데,하,하,들,어떻,를,잖아,듣,는,.,이,롭,되,아니,어중간,거,었었,그래서,받,name,2,그,기,의,티아,하,나,둘,,이,대,,,,
뭐,결혼,에,이,그것,ᆫ,안,같,어,하,나,이,어떻,를,어,긋,ᆯ,?,이,스럽,하,아니,이러,년,었,근데,받,name,2,그런,기,의,엠비,하,과,둘,,이,생,,,,
어,날짜,에,이,나,는,우선,있,고,하,놓,형,어떻,를,어,짓,ᆫ,.,이,답,하,아니,합리,쯤,었,근데,뽑,name,1,몇,기,의,티아,되,나,둘,,이,비,,,,
그,장소,에,이,그것,도,의외로,같,어,보,하,성,어떻,를,어,듣,ᆫ,?,이,답,하,아니,희박,거,었,그러니까,받,name,1,그런,기,의,에스,하,과,둘,,이,비,,,,
그,전,에,이,당신,도,사실,좋,은데,이어지,하,성,이렇,을,어,걷,ᆫ,?,이,답,하,아니,활달,거,었,그래서,받,name,1,이,기,의,엠비,하,과,둘째,,이,비,,,,
뭐,예약,에,이,우리,ᆫ,못,같,을지,있,않,님,어떻,를,지,묻,ᆫ,.,이,답,하,아니,다정다감,것,었,그러니까,받,name,1,여러,기,의,티아,하,하고,둘,,이,비,,,,
그,예약,으로,가,누구,만,언제,없,는데,달라지,않,이,어떻,을,지,듣,는,.,이,스럽,하,아니,익숙,거,었,그러면,받,name,3,그런,기,의,엠비,하,과,몇,,이,비,,,,
뭐,다음,에,이,요거,는,잘,길,는지,생각나,않,들,미끄럽,을,어,묻,는,.,이,스럽,하,아니,비슷,것,었,그래서,받,name,1,그런,기,의,티아,하,이나,만,,이,비,,,,
뭐,점,에,이,우리,는,안,같,고,달라지,주,적,그렇,을,어,묻,라는,.,이,스럽,하,아니,씁쓸,쪽,었,근데,받,name,1,이런,기,의,엠비,하,나,일,,이,비,,,,
그,식장,으로,이,우리,은,언젠가,길,고,그치,싶,적,어떻,을,어,듣,ᆫ,.,이,스럽,하,아니,소중,거,었,그래도,받,name,1,그런,ᆷ,의,티아,하,나,일,,이,저,,,,
뭐,요즘,랑,가,우리,부터,혹시,같,는지,낳,주,적,그렇,ᆯ,잖아,묻,던,.,이,스럽,하,아니,소중,차,었,그러니까,받,name,1,그,기,의,엠비,하,나,하나,,가,맨,,,,
뭐,예전,에,가,요거,은,이제,같,게,낳,있,적,요렇,를,어,짓,는,?,이,스럽,하,아니,유쾌,거,었,그러니까,받,name,3,모든,기,의,티아,하,이나,만,,이,맨,,,,
어,결혼,에,가,이것,는,제일,크,게,겹치,있,적,쉽,을,야,걷,은,.,이,스럽,하,아니,복잡,때문,었,근데,받,name,5,그,기,의,엠비,하,과,만,,이,재,,,,
뭐,때,랑,가,당신,는,혹시,없,은데,되,나가,적,번거롭,를,잖아,묻,ᆫ,.,이,롭,하,아니,기기묘묘,것,었,그럼,받,name,5,그,기,의,티아,하,와,만,,이,재,,,,
어,요즘,랑,가,나,도,당연히,같,게,낳,지,이,이렇,를,어,짓,는,.,이,스럽,하,아니,풍성,거,었,그러니까,받,name,23,어느,기,의,경주,하,이랑,만,,이,재,,,,
이제,웨딩,처럼,이,우리,는,되게,같,게,낳,있,성,그렇,를,더라고,듣,는,?,이,스럽,하,아니,흥미진진,것,겠,근데,받,name,3,그,기,의,강원도,하,이나,만,,가,가,,,,
뭐,플래너,에,이,나,는,더,좋,니깐,그러,하,성,그렇,을,어,눕,ᆫ,.,이,스럽,되,아니,얼얼,거,었었,그리고,받,xx,2,이,기,의,캐나다,하,나,하나,,가,제,,,,
뭐,때,보다,이,나,만,또,적,어,가,계시,적,어렵,를,더라고,듣,는,.,이,스럽,하,아니,날씬,거,었,그러니까,뽑,xx,2,한,기,의,미국,하,이나,하나,,이,재,,,,
이,결혼식장,에,이,우리,는,좀,같,니깐,바꾸,있,이,어떻,을,잖아,듣,는,.,이,스럽,하,아니,비슷,부,겠,그러니까,잡,xx,2,그,기,의,베트남,하,나,하나,,이,저,,,,
뭐,사진,에,가,얘,은,갑자기,젊,어,하,보,적,어떻,을,어,듣,ᆫ,.,이,스럽,하,아니,만만,거,었,그래서,씻,name,1,그,기,의,일본,하,이나,오,,이,신,,,,
뭐,결혼식,에,이,이것,만,안,같,어서,모르,주,적,그렇,를,잖아,걷,는,.,이,답,하,아니,신기,거,었,그래서,잡,name,4,한,기,의,미국,하,과,하나,,가,신,,,,
음,물론,에,이,나,는,꼭,있,ᆫ다고,보,하,이,그렇,을,을까,걷,ᆫ,.,이,스럽,하,아니,멍멍,군데,시,하지만,받,name,5,그런,기,의,캐나다,하,이나,억,,가,재,,,,
그,식당,에,가,그거,ᆫ,또,아프,어야,하,주,들,어떻,를,다,걷,ᆫ,.,이,스럽,하,아니,익숙,거,시,그래서,닫,name,1,그,기,의,북유럽,하,과,둘,,이,고,,,,
뭐,결혼식장,로,가,나,도,갑자기,편하,게,보,않,이,덥,를,어,걷,는,.,이,답,하,아니,엄격,거,으시,그래도,받,name,20,한,기,의,스칸디나비아,하,나,하나,,가,비,,,,
뭐,요즘,에,가,나,도,안,같,니까,보,보,들,덥,를,야,걷,ᆫ,.,이,스럽,하,아니,불구,거,었,그래서,받,name,22,한,기,의,스웨덴,하,이나,이,,이,재,,,,
뭐,느낌,에,이,그것,도,거의,같,거나,알,하,들,쉽,을,지,듣,는,.,이,롭,하,아니,여의,월,겠,그러니까,받,name,1,그,기,의,핀란드,하,이나,하나,,가,반,,,,
뭐,그때,에,이,거기,는,안,같,게,나오,보,님,그렇,를,어요,듣,ᆫ,.,이,롭,하,아니,만만,일,었,그러니까,잡,name,1,그,기,의,노르웨이,하,이나,하나,,이,제,,,,
뭐,때,에,이,고거,는,거의,크,니,나오,가지,들,어떻,ᆯ,어,낫,ᆫ,.,이,스럽,하,아니,조용,거,겠,근데,잡,ss,1,그,기,의,북유럽,하,과,하나,,가,불,,,,
그,반지,한테,이,거기,는,안,있,고,어떡하,있,네,이렇,를,던데,묻,는,?,이,스럽,하,아니,깨끗,거,겠,근데,잡,name,1,내,기,의,동유럽,하,이나,하나,,가,재,,,,
자,다음,처럼,이,우리,은,왜,같,으니까,쓰,않,끼리,그렇,를,더라고,듣,는,.,이,롭,하,아니,깨끗,거,었,근데,잡,name,3,그,기,의,북유럽,하,나,하나,,이,재,,,,
아,메이크업,하고,이,그것,는,지금,같,라도,보,보,이,이렇,를,구나,듣,는,?,이,,하,아니,세밀,수,었,그래서,돌려받,name,20,이,기,의,체코,하,하고,만,,이,미,,,,
어,촬영,에,이,너,ᆫ,참,좋,고,대하,싶,이,그렇,를,네,짓,는,.,이,,하,아니,복잡,거,었,그래서,받,name,20,어느,기,의,북유럽,하,하고,하나,,이,대,,,,
어,계약,에,이,나,도,좀,있,ᆫ지,보,가지,이,이렇,를,어,듣,는,.,이,,하,아니,고지식,거,었,근데,받,name,30,그,ᆷ,이,핀란드,하,이니,하나,,가,대,,,,
어,계약,으로,이,나,도,좀,없,는데,보,가지,님,덥,을,잖아,듣,을,.,이,,하,아니,답답,거,었,근데,받,name,20,그,기,의,북유럽,하,이나,하나,,이,한,,,,
아,금액,으로,이,그거,는,다,있,ᆫ다든지,되돌리,보,들,그렇,를,다,묻,는,.,이,,하,아니,충분,거,었었,근데,받,name,30,이런,기,의,핀란드,하,나,둘,,이,제,,,,
뭐,절충,에,이,뭐,는,또,있,ᆫ다든지,보,않,들,그렇,를,지,듣,ᆫ,.,이,,하,아니,비슷,가지,었,근데,받,name,30,그런,기,의,핀란드,하,이라든지,시,,이,제,,,,
그,예전,에,이,우리,까지,자주,같,ᆫ다든지,보,보,끼리,그렇,을,어,듣,을,.,이,,하,아니,수월,가지,었,그래서,받,name,30,이,기,의,유튜브,하,과,구,,이,대,,,,
뭐,예전,에,이,그거,만,자주,있,지,나,않,들,쉽,를,어,묻,다는,?,이,,하,아니,비슷,거,었,근데,받,company,20,그런,기,의,아프리카,하,이나,몇,,이,제,,,,
어,돈,에,이,나,도,좀,없,고,보,있,들,이렇,를,지,묻,ᆯ,.,이,,하,아니,간소,것,겠,아니면은,받,company,12,그,ᆫ다기,의,중국,하,하고,일,,가,대,,,,
어,금액,으로,이,나,이나,잘,많,어,하,보,적,그렇,ᆯ,어,묻,ᆯ,.,이,,하,아니,간소,거,겠,그러니까,받,name,7,어떤,기,의,중국,하,하고,둘,,이,대,,,,
어,부분,에,가,뭐,은,안,있,자,나,않,들,아쉽,를,야,묻,는,.,이,,하,아니,간소,거,겠,그래서,받,name,1,어떤,기,의,장,하,하고,둘,,이,대,,,,
그,결혼식,에,이,너,는,따로,같,고,보,하,들,그렇,를,세요,굽,ᆫ,.,이,,하,아니,복잡,수,었,그래서,잡,company,1,이,기,의,중국,하,나,둘,,가,,,,,
이제,딸,에,가,나,도,이제,같,게,되,주,적,이렇,ᆯ,으니깐,줍,은,.,이,,하,아니,생소,수,었,아니면,잡,name,1,고,기,의,중국,하,나,하나,,가,,,,,
어,결혼,로,가,나,ᆫ,많이,없,면,되,있,적,그렇,을,어,듣,는,?,이,,하,아니,잔잔,군데,겠,그래서,받,company,28,한,기,의,유튜브,하,과,제일,,가,,,,,
음,사이,에,이,우리,ᆫ,왜냐하면,있,지만,남,보,들,낫,를,어,묻,는,?,이,,하,아니,조용,것,었,근데,받,name,29,한,기,의,아바타,하,라든지,몇,,이,,,,,
그,살,에,이,이거,도,많이,같,게,남,있,이,새롭,을,지,듣,ᆯ,.,이,,하,아니,조용,간,었,그래서,받,name,30,그런,기,의,빌트,하,과,몇몇,,이,,,,,
저,마음,한테,이,우리,도,북적,있,면,묻어나,않,적,그렇,ᆯ,어,듣,는,.,이,,하,아니,시원,거,겠,근데,받,name,3,그,기,의,정자동,하,나,첫째,,가,,,,,
뭐,고민,으로,가,나,은,많이,있,는데,울,하,들,그렇,을,잖아,듣,ᆯ,.,이,,하,아니,비슷,거,었었,그래서,받,name,32,그,기,의,정자동,하,랑,둘째,,가,,,,,
응,예전,에서,이,나,는,그냥,힘들,고,달라지,않,이,무섭,를,지,듣,는,.,이,,하,아니,느긋,거,었,근데,받,name,2,이,기,의,두산,하,랑,셋째,,가,,,,,
그,경우,에서,이,나,는,이제,있,은데,나,있,들,어떻,ᆯ,을까,짓,ᆫ,?,이,,되,아니,편,것,었,근데,받,name,2,그,기,의,미금,하,랑,백,,이,,,,,
어,결혼식,랑,이,나,은,상당히,없,어서,하,있,이,어렵,를,어,듣,는,.,이,,하,아니,비슷,거,었,그래서,받,name,2,고,기,의,두산,하,랑,둘,,이,,,,,
어,때,에,이,어디,ᆫ,물론,맛있,게,그러,주,들,이렇,를,지,묻,ᆯ,.,이,,하,아니,갑갑,외,겠,그러면,받,name,1,이,기,의,정자역,하,이나,둘,,이,,,,,
글쎄,임신,으로,이,우리,는,많이,같,으니까,나,지,들,이렇,를,더라고,듣,은,.,이,,하,아니,적적,거,었,그래서,받,name,10,그런,기,의,미금,하,이나,백,,이,,,,,
뭐,이후,으로,가,나,는,못,같,지,하,있,적,그렇,을,더라고,듣,는,?,이,,되,아니,솔직,간,었,근데,받,name,20,그,기,의,분당,하,과,만,,이,,,,,
어,결혼,에서,이,나,ᆫ,좀,빠르,고,말,지,들,가깝,을,다,듣,은,.,이,,하,아니,답답,것,었,그래서,받,name,50,그,기,의,주공,하,과,만,,이,,,,,
뭐,사람,에서,가,나,는,못,크,면,나,보,성,가깝,를,어,묻,ᆫ,.,이,,하,아니,조촐,중,었,그래서,받,name,50,어느,기,의,미금역,하,과,만,,이,,,,,
어,요즘,에,이,자기,도,이제,없,으니까,끝나,보,들,고렇,를,어,듣,는,.,이,,하,아니,의연,가지,겠,근데,받,name,2,여러,기,의,분당,하,이나,만,,이,,,,,
뭐,풍경,에,이,너,는,많이,같,니까,하,지,이,그렇,을,더라고,묻,은,.,이,,하,아니,희귀,거,었,그러니까,뽑,name,1,여러,기,의,유튜브,하,랑,만,,이,,,,,
뭐,기,에,이,나,도,미리,과하,지,하,하,들,이렇,을,어,묻,ᆫ,.,이,,하,아니,대단,때문,겠,근데,받,name,2,이,기,의,코로나,하,나,만,,이,,,,,
뭐,사람,에서,가,거기,은,상당히,같,고,모르,하,님,그렇,를,네,눕,ᆯ,.,이,,하,아니,대단,거,겠,그리고,받,name,1,어떤,기,의,코로나,되,랑,만,,이,,,,,
그,사람,에,이,누구,는,왜냐면,많,다고,하,보,들,그렇,ᆯ,어,묻,ᆫ,.,이,,하,아니,익숙,것,겠,근데,받,name,1,그런,기,의,복불복,하,나,만,,가,,,,,
뭐,연애,에,이,누구,는,허둥지둥,아프,지만,하,보,들,그렇,을,더라,듣,ᆫ,.,이,,하,아니,솔직,때문,겠,그리고,받,name,1,그런,기,의,분당,되,이나,하나,,가,,,,,
뭐,트렌드,에,이,우리,은,안,있,지,대하,하,들,가깝,을,어,짓,을,.,이,,되,아니,솔직,년,었,그래서,받,name,3,이,기,의,일본,되,랑,둘,,가,,,,,
뭐,때,에서,이,나,는,잘,있,ᆫ지,하,보,이,그렇,를,ᆫ가,듣,은,.,이,,하,아니,활성,것,었,아니면,받,name,3,이런,기,의,달순,하,나,일,,이,,,,,
