NNG,JKS,XSN,JX,NP,JKO,MAG,UN,VV,ECS,ETD,NNB,VA,ECD,SF,MDT,JKG,JKM,MAC,EPT,VXV,EFQ,EFN,ECE,VXA,VCP,VCN,NR,EFI,XSV,JKQ,NNP,JC,XR,XSA,EPH,ETN,JKC,OL,NNM,VX,JKI,MDN,XPN,IC,EFO,EFA
티,이,끼리,는,나,을,더,거잖,듣,어,는,중,반갑,은데,.,이,의,에,그래서,았,보,나,아요,면서,싶,이,아니,3,구나,하,라고,돌리,에다,괴팍,하,시,기,이,name,럼,못하,야,한,비,음,으라,으세요
관계,이,적,는,뭐,을,가득,랄,변하,아,ㄹ,거,이렇,라,.,그,의,에,그리고,었,나가,냐,잖아,으면서,싶,이,아니,60,구나,하,라고,하면,이랑,바람직,하,시,ㅁ,이,name,명,하,야,세,재,예,우,으세요
검사,가,적,은,나,을,역시,갈아야겠구,하,어,ㄹ,거,저렇,어서,.,저,의,에,그래서,겠,보,나,잖아,면서,싶,이,아니,60,구나,하,고,하다,나,똑똑,하,으시,ㅁ,이,name,명,오,아,한,무,음,너라,으세요
은,가,적,야,나,를,인제,갈아야겠구나,보,는지,ㄴ,수,그렇,게,.,저,의,에,그런데,았,지,을까,다,고,싶,이,아니,4,구나,하,고,하다,이나,똑똑,하,시,ㅁ,가,name,건,못하,야,한,부,음,우,ㅂ시다
기본,이,적,는,나,를,나랑,린,변하,아,는,거,저렇,아,.,저,의,에,그래서,었,주,을까,네,지만,싶,이,아니,4,는구나,하,고,노령,에,똑똑,하,시,ㅁ,가,name,년,오,아,네,저,글쎄,어라,ㅂ시다
기본,가,적,라고,내,을,너무,보니까,대하,어,ㄴ,것,어떻,라,.,그,의,으로써,그래서,었,주,자니까,다고,나,만하,이,아니,4,구나,하,고,노령,이나,비슷,하,시,ㅁ,가,name,년,오,아,한,탈,음,아라,ㅂ시다
성질,가,적,는,나,를,너무,응,가,다,을,수,저렇,게,.,저,의,에,그래서,더,않,을까,네,고,싶,이,아니,4,는구나,하,고,하다,나,궁금,하,시,ㅁ,가,name,년,하,야,한,부,음,아라,ㅂ시다
느낌,가,끼리,야,나,을,그래서,휴,고치,어,은,거,없,어서,.,그,의,에서,그래서,었,있,자니까,거든,다면,싶,이,아니,10,구나,되,고,나스,이나,어마어마,하,시,ㅁ,가,name,개,오,야,한,비,글쎄,아라,ㅂ시다
성질,이,적,야,내,을,혹시,저래,하,다,는,데,없다,으면,.,그,의,에,그래서,더,보,는가,어,다면,있,이,아니,20,는구나,하,고,하면,과,똑똑,하,시,기,이,name,주일,못하,야,한,요,음,으라,ㅂ시다
성은,가,들,야,뭐,를,근데,으,그,어,ㄹ,수,같,어서,.,그,의,에,그래서,었,않,ㄴ가,라고,면,싶,이,아니,하나,구나,하,고,하라,이나,기특,하,으시,ㅁ,이,name,번,못하,야,한,부,음,으라,ㅂ시다
본성,이,들,을,그거,을,너무너무,으,따르,는지,는,뿐,그,게,?,그,의,에,그래서,었,놓,을까,다,면,계시,이,아니,10,구나,하,라고,러,랑,똑똑,하,시,ㅁ,가,name,번,오,야,네,대,음,시라,ㅂ시다
약,이,들,라고,나,을,왜냐하면,에른,바뀌,아,을,수,너그럽,게,.,그,의,으로,그래서,었,주,나요,더라,면,계시,이,아니,3,구나,하,라고,하면,니,난처,롭,시,기,가,name,번,싶,야,한,대,아,,ㅂ시다
간의,가,들,도,머,을,또,응,있,아,ㄴ,수,좋,는데,.,그,의,에,그래서,었,않,ㄴ가요,라고,고,계시,이,아니,1,구먼,하,라고,대신,이나,비슷,하,시,기,가,name,우리,들,야,한,친,예,,으세요
점,이,적,도,나,를,또,쪼꼼,대하,아,는,수,쓸데없,어,.,여러,의,에,그래서,었,않,ㄹ라고,잖아,고,계시,이,아니,1,구나,하,라고,하면,이나,똑똑,하,시,기,이,name,건,오,야,한,부,음,,으세요
상황,이,들,은,나,를,굉장히,휴,바꾸,어,다는,데,그,더니,.,이,의,에서,그래서,었,않,나,ㄴ대,면,듯하,이,아니,1,구나,하,라고,개성,니,궁금,롭,시,기,이,name,도,못하,야,한,최,음,,ㅂ시다
사람,가,들,밖에,나,을,한번,빠가,있,어,ㄴ,거,좋,게,.,몇,의,에서,따라서,었,있,나,라,면,만하,이,아니,1,구나,하,라고,대신,이나,먹먹,롭,시,기,가,name,주일,오,아,세,부,음,,으세요
노력,가,적,은,나,을,좀,혼자잖,날,어,ㄴ,것,고맙,어,.,이,의,에서,그래서,었,나,느냐,잖아,고,싶,이,아니,2,구나,하,라고,고려,이나,깨끗,롭,시,기,이,name,번,하,야,한,친,글쎄,,으세요
사람,가,들,도,그,을,다,해야겠다,보,아,는,수,찡하,어서,.,여러,의,에서,그래서,었,지,냐,잖아,면,싶,이,아니,8,구나,하,라고,고려,과,쾌적,하,시,기,가,name,도,있,야,세,대,글쎄,,으세요
처음,가,들,도,저,를,왜,휴,보,ㄴ가,는,수,어리,어서,.,모든,의,에,그래서,었,주,ㄴ가,잖아,ㄴ데,만하,이,아니,1,구나,하,고,고려,이나,한적,하,시,기,이,name,기,오,아,두,무,음,,ㅂ시다
때,가,적,는,그,를,안,랬,잘하,어,는,수,어떠하,게,.,그,의,에,그러니까,었,있,을까,잖아,고,만하,이,아니,1,구나,하,고,대신,에,조용,하,시,ㅁ,가,name,주일,오,,세,외,음,,ㅂ시다
말,가,적,는,우리,을,그러면,보니까,보,어,ㄹ,것,깊,게,.,그,의,에서,그런데,었,있,ㄴ가,다,고,만하,이,아니,1,구나,하,고,제주도,에,활발,하,시,기,가,name,번,오,,두,대,음,,ㅂ시다
때,가,째,부터,이,을,굉장히,쟤,하,어,다는,수,어떻,아도,.,그,의,에,그래서,더,있,을까,거든,고,만하,이,아니,1,구나,하,라고,아름,에,평평,하,시,ㅁ,이,xx,번,오,,한,무,음,,ㅂ시다
외향,이,들,은,나,을,많이,휴,나,어,라는,것,깊,서,.,그,의,로,그래서,았,있,ㄴ가,야,ㄴ데,만하,이,아니,1,는구나,하,고,두고,에,한적,하,시,기,가,name,건,못하,,한,무,아,,으세요
검사,이,들,만,나,를,많이,휴,그리,어,는,수,같,게,.,그,의,으로,그래서,았,있,냐,라고,고,만하,이,아니,2,는군요,하,고,롯데,이나,한적,하,시,기,이,name,대,오,,한,무,음,,으세요
스스로,이,들,부터,뭐,을,그래서,거잖아,얻,ㄴ가,ㄹ,중,높,게,?,어떤,의,에,그리고,였,있,는다고,거든,나,싶,이,아니,1,더라니,하,고,롯데,니,신선,하,시,ㅁ,이,name,세,오,,한,무,웬걸,,으세요
내성적,가,들,까지,뭐,을,많이,싶더래,얻,아,는,수,아름답,어야,.,어떤,의,보다,그러니까,였,있,냐,거든,면,만하,이,아니,하나,더라니,하,고,하면,에,시원,하,시,기,이,name,세,들,,네,무,아,,ㅂ시다
에너지,이,들,도,우리,을,다시,있더래,만들,어,ㄴ,거,이렇,아서,?,어떤,의,에,그래서,였,있,을까,지,고,싶,이,아니,1,구나,하,고,하다,에,바람직,하,시,ㅁ,가,name,년,하,,한,무,아,,자
때,이,들,도,우리,을,너무,못버,들어가,아,ㄹ,년,너그럽,아서,.,이,의,에서,하지만,였,않,ㄹ까,ㄴ다,고,싶,이,아니,1,구나,하,고,모든,에,조그마,하,시,기,가,name,년,못하,,네,무,여보,,으세요
사람,가,들,는,나,을,또,이제,하,ㄴ가,ㄴ다는,것,같,니까,.,이,의,에,그래서,었,주,ㄹ까요,ㄴ다고요,고,싶,이,아니,1,구나,하,고,서면,나,풍부,하,시,기,이,name,주일,못하,,한,무,음,,
스스로,이,들,는,이것,을,꼭,즈,만들,어,ㄹ,가지,어리,게,.,다른,의,으로,그래서,었,지,자고요,어,면서,않,이,아니,1,더라니,하,고,서면,에,깨끗,하,시,기,이,name,살,오,,두,늦,음,,
동굴,가,들,도,우리,을,상관없이,보고서라도,있,어,ㄹ,수,같,으니까,.,이,의,에,그래서,겠,있,ㄹ까,다고,ㄴ데,싶,이,아니,1,구먼,하,고,모든,에,소심,롭,으시,기,가,name,년,오,,약,부,음,,
스스로,이,들,는,우리,을,이제,츠,그러,는지,ㄹ,것,그,아,.,그런,의,에,그래서,겠,않,습니까,거든,고,싶,이,아니,1,구먼,하,고,하다,에,활달,답,시,기,이,name,년,못하,,네,부,음,,
에너지,이,들,은,거기,을,참,응,듣,아,ㄹ,것,같,게,.,그런,의,으로,그러니까,었,않,을까요,거든,나,싶,이,아니,하나,는구나,하,라고,보문,이나,답답,하,으시,기,이,name,일,못하,,한,시,음,,
음악,이,들,는,이것,을,나랑,전에,좋아하,어,는,것,같,아,.,이,의,에,그래서,었,않,는가,다,고,싶,이,아니,하나,구나,하,고,아름,에,조용,하,시,기,이,name,살,못하,,한,비,음,,
책,이,네,는,나,을,나랑,하겠습,읽,아,을,수,이렇,라고,.,그,의,에,그래서,였,않,습니까,거든,고,싶,이,아니,1,구나,하,고,남구,에,순진,하,시,기,이,name,년,못하,,한,함,음,,
절,가,들,는,자기,을,나랑,있기,읽,어,라는,수,같,어야,.,그런,의,에,그러니까,더,있,습니까,잖아,고,싶,이,아니,1,구나,하,고,하다,나,웬만,답,으시,기,이,name,년,오,,네,소,음,,
철학책,은,들,는,뭐,를,좀,브릿,그러,아,ㄹ,수,같,어,.,어떤,의,으로써,그래서,았,가지,을까,죠,고,같,이,아니,1,는구나,하,라고,하다,이랑,씁쓰름,하,시,기,이,art,세,못하,,한,부,음,,
에너지,가,들,는,나,을,이렇게,브릿,얻,어,ㄹ,거,같,려,.,그,의,으로써,그러니까,었,가지,ㄴ가,어,고,싶,이,아니,1,구나,하,고,하면,이랑,똑똑,하,시,ㅁ,이,name,명,못하,,한,부,음,,
형,이,들,은,거기,을,너무,다이아몬드브릿지,찾,어,ㄹ,거,같,어서,?,이,의,에,하지만,였,주,ㄴ가,지,면,계시,이,아니,1,구나,하,라고,하면,하고,멍청,하,시,기,이,name,년,오,,세,부,음,,
사람,이,들,을,이것,을,또한,옆에,아,아,는,것,아름답,어서,.,그,의,로,그래서,었,보,냐,다고,ㄴ데,싶,이,아니,2,구나,하,라고,하면,과,멍청,스럽,으시,기,이,name,주일,가,,네,친,음,,
에너지,이,들,만,뭐,을,좀,막,통하,아,ㄹ,수,같,어도,.,그,의,으로,그러면,었,주,니,다고,면,싶,이,아니,둘째,구나,시키,라고,서면,나,활발,스럽,시,기,이,name,번,오,,한,친,음,,
충전,이,적,은,뭐,을,그냥,뿜어져,하,어,는,수,찡하,게,.,다른,의,에,그리고,았,가지,니,다고,고,싶,이,아니,100,는구나,하,고,하면,에다,풍족,롭,시,ㅁ,이,name,주일,들,,네,친,음,,
집,이,들,라고,그거,를,당연히,덱,있,아,은,거,젊,게,.,그런,의,보다,그리고,았,가지,을까,야,고,접,이,아니,1,구나,하,라고,하다,에,반듯,하,으시,기,이,name,번,못하,,한,친,음,,
내가,이,네,는,나,을,또,많이,통하,어,는,거,같,으니까,.,그런,의,처럼,그래서,었,주,냐,다고,고,싶,이,아니,1,구나,하,고,하면,니,끔찍,하,시,기,이,name,번,오,,한,친,음,,
에너지,이,들,은,이거,을,또,휴,끌어올리,는지,은,거,없,게,.,그런,의,에,그래서,었,않,냐,잖아,고,싶,이,아니,1,구나,하,라고,하면,에다,확실,같,시,기,이,name,년,못하,,한,친,음,,
다운,가,들,라고,뭐,을,이제,맺어,하,아,을,수,같,어,.,그,의,으로,그래서,았,있,나,라고,고,싶,이,아니,100,구나,하,고,하다,이랑,무정,하,으시,기,이,name,년,오,,한,불,음,,
때,가,들,는,자기,를,또,쟤,만들,다,ㄴ,거,같,니까,.,그,의,에,그러니까,었,주,냐,잖아,어야지만,싶,이,아니,2,구나,하,고,하면,이랑,쓸쓸,하,시,기,가,company,차,오,,한,부,음,,
집,이,들,은,그,을,인제,쟤,하,어,ㄹ,수,깊,어서,.,그,의,과,그래서,었,지,냐,다,고,싶,이,아니,2,구나,하,고,하면,에다,못마땅,하,시,기,이,company,년,오,,두,친,음,,
다운,가,들,는,우리,을,진짜,휴,보,어,ㄹ,수,어떻,어서,.,어느,의,과,그리고,더,있,냐,다,고,싶,이,아니,100,군요,하,라고,경북,이랑,못마땅,하,시,ㅁ,이,company,건,있,,두,친,음,,
일단,가,들,도,나,을,확연히,휴,아,어,라는,수,아름답,게,.,어떤,의,과,그래서,더,가지,냐,거든,나,싶,이,아니,2,구나,하,라고,경기도,하고,넉넉,하,시,기,이,address,우리,못하,,두,친,음,,
사람,가,들,라고,자기,을,이제,얘,속하,어,ㄴ,때문,아름답,게,.,몇,의,과,그래서,더,가지,ㄴ가,ㄴ다,고는,싶,이,아니,2,구나,하,라고,하면,니,사소,하,시,기,이,company,대,못하,,한,,음,,
나의,이,들,은,자기,을,인제,같아요,하,다,은,때문,없,아,.,어떤,의,보다,그래서,더,가지,는가,다고,자면,싶,이,아니,1,는구나,하,라고,하다,이나,웬만,하,시,음,이,company,쾌,못하,,네,,음,,
잠재적,가,들,은,이거,을,인제,듣는,계시,어,은,거,그,여,.,이,의,으로써,그러면,더,주,는가,잖아,고,싶,이,아니,2,는구나,하,고,하면,에다,웬만,하,시,기,이,company,건,오,,한,,에이,,
에너지,이,네,는,이거,을,막,들어만,있,지,ㄴ,것,깊,아,.,이,의,에,그래서,더,가지,ㄹ라고,다고,면,싶,이,아니,2,구나,하,라고,하면,과,답답,하,시,기,가,name,건,하,,네,,음,,
충전,가,들,는,나,을,또,거잖아,어,ㄴ가,ㄴ,것,좋,을수록,.,그,의,과,그래서,더,가지,는다고,잖아,ㄴ데,않,이,아니,2,는구나,하,고,하면,에다,웬만,하,시,기,이,name,우리,오,,한,,글쎄,,
형,가,들,은,자기,을,감히,얘,묻,아,ㄹ,거,이렇,ㄹ수록,.,저,의,에,그래서,었,가지,냐,더라,고,뻔하,이,아니,2,구나,하,라고,하면,에다,웬만,하,시,ㅁ,이,name,동,오,,네,,글쎄,,
생각,이,들,은,나,를,감히,얘,그리하,ㄴ다,ㄴ,거,많,으니까,.,그,의,에,그래서,더,있,는가,거든,고,않,이,아니,1,구나,하,라고,하면,에,뚜렷,롭,시,기,이,name,작,오,,네,,음,,
직장,이,들,는,우리,를,왜,볼까,맞,어,ㄴ,수,옳,라고,.,그런,의,으로,그래서,더,않,는가,어,고,싶,이,아니,1,구나,하,라고,하면,에,비슷,하,으시,기,가,name,바퀴,못하,,두,,글쎄,,
매니저,이,들,도,나,를,이렇게,걔,그러,아,ㄴ다는,수,길,지,.,어떤,의,에,그래서,았,주,나,잖아요,고,싶,이,아니,둘째,으이,하,라고,하면,에,비슷,하,시,기,이,name,번,못하,,두,,음,,
생각,이,들,는,나,을,그리고,치워야잖,있,어,ㄹ,수,어떻,어서,.,뭔,의,에,그런데,았,않,냐,네,면,싶,이,아니,2,구나,하,고,하면,이나,허술,하,시,기,가,name,분,못하,,한,,음,,
제이,이,들,은,자기,을,정말,얘,그러,어,ㄹ,거,그,게,.,그런,의,에,그래서,었,가지,ㄴ가,어요,면,싶,이,아니,2,구나,하,고,컴,하고,허술,하,시,ㅁ,가,name,바퀴,못하,,한,,음,,
계획,이,네,은,저희,를,가장,얘,어,어,는,것,힘들,어서,.,그,의,에,그런데,겠,주,나,야지,고,싶,이,아니,2,구먼,하,라고,뱅크,과,시원,하,시,기,가,name,번,오,,한,,예,,
사람,가,적,는,나,을,너무너무,얘,알,어,ㄹ,거,어떻,어서,?,그,의,에,그렇지만,었,가지,ㄹ까,어요,면,싶,이,아니,2,구나,하,고,파세코,하고,예민,하,으시,ㅁ,이,name,번,있,,한,,예,,
매니저,이,상,는,나,을,왜냐하면,수놈만,하,어,는,수,이렇,아,.,그,의,에서,그래서,겠,않,ㄴ가,라고,고,싶,이,아니,2,구나,하,고,파세코,와,민감,하,시,ㅁ,이,name,우리,오,,한,,음,,
제이,가,들,야,자기,을,너무,걔,걸,아,을,거,이렇,어서,.,그런,의,에,그래서,였,않,ㄴ가,라고요,면서,싶,이,아니,2,구나,하,고,교하면,나,허술,하,시,기,이,name,년,못하,,한,,예,,
엠,이,들,야,나,를,늘,얘,대하,아,은,거,어떻,서,.,그,의,에서,그래서,었,않,ㄹ까,라고요,고,싶,이,아니,1,구나,하,고,하면,이나,풍족,하,으시,ㅁ,이,xxxx,개,있,,한,,예,,
비,이,들,은,내,를,또,걔,있,아,은,거,어떻,게,.,그런,의,에,그리고,였,않,냐,라고,고,싶,이,아니,1,구나,하,고,하다,이나,시원,하,시,기,가,name,월,보,,한,,예,,
티,이,들,이야말로,자기,를,가끔,아따,듣,다,는,거,어떻,아,.,그,의,처럼,그런데,었,있,냐,라고요,지만,싶,이,아니,하나,구나,하,고,경기도,며,시원,하,시,기,가,name,월,못하,,한,,음,,
아이,이,들,이야말로,나,를,씩,걔,모르,아,는,거,그렇,으면,.,그,의,에,따라서,더,가지,을까,어요,고,싶,이,아니,둘째,구나,하,고,대신,니,간단,하,시,기,가,name,접,들,,네,,음,,
사람,이,들,는,나,을,가끔,걔,아니,는지,은,거,어떻,게,.,저,의,으로,그리고,었,가지,나,라고요,고,싶,이,아니,하나,구나,하,고,하다,랑,비슷,하,시,기,이,name,접,오,,한,,음,,
이해,이,적,도,그,를,씩,얘,아,어,ㄹ,거,그렇,아,.,어떤,의,에,그래서,았,보,ㅂ니까,어요,면서,만하,이,아니,30,구나,하,고,하다,하고,만만,하,시,기,이,name,번,하,,한,,글쎄,,
내가,이,들,은,나,을,완전히,버리려고,하,아,은,것,많,여,.,그런,의,으로,그래서,었,보,는가,아요,고는,싶,이,아니,하나,구나,하,라고,개성,니,비슷,하,시,기,이,name,건,있,,두어,,음,,
예,이,들,는,자기,을,참,쌔웠냐,있,어,은,때문,쉽,라고,.,저런,의,으로,그러니까,었,말,나요,라고요,ㄴ데,싶,이,아니,65,구먼요,하,라고,하면,에,신기,하,시,기,가,name,명,오,,한,,음,,
사람,가,들,도,나,를,항상,걔,어,어,ㄹ,수,그렇,니까,.,다른,의,과,그래서,었,있,ㄹ라고,어요,지만,있,이,아니,65,구나,하,라고,하면,하고,신기,하,시,기,이,name,우리,못하,,한,,글쎄,,
만약,가,적,도,나,을,너무,응,갖,ㄴ지,는,것,없,어도,.,저,의,에,그래서,었,있,나요,잖아요,면,싶,이,아니,2,구나,하,,하면,하고,지저분,하,시,기,이,affiliation,개,못하,,네,,음,,
제이,가,들,은,자기,을,너무너무,걔들,그러,어,ㄴ,데,그렇,ㄹ까,.,모든,의,에서,그래서,었,있,느냐,라고요,고,싶,이,아니,5,구나,하,,개성,나,깨끗,하,시,ㅁ,가,name,년,못하,,네,,글쎄,,
내가,가,들,는,자기,를,너무,걔,그러,어,은,것,그렇,라,.,여러,의,에서,그래서,었,있,는다고,어요,지만,싶,이,아니,1,구나,하,,개성,이랑,깨끗,하,시,기,이,company,우리,못하,,네,,음,,
제이,이,들,은,나,한테,못,뻑,들어가,어,는,거,같,라고,.,그,의,에,그래서,겠,있,는가,잖아요,고,싶,이,아니,75,구나,하,,하다,하고,깨끗,하,시,기,이,company,마리,오,,네,,아,,
은,이,들,는,거기,을,다시,얘,되,아,을,거,많,아,.,그,의,에,그리고,였,드리,ㅂ니까,다고,면서,싶,이,아니,10,군요,하,,하다,랑,깨끗,하,으시,기,가,company,마리,오,,네,,여보,,
사람,가,들,야,자기,를,그래서,얘,건지,다,ㄹ,거,같,ㄹ까,.,그,의,에,그래서,었,놓,을까,에요,면,싶,이,아니,10,구나,하,,하면,이랑,심심,하,시,기,가,xxx,마리,하,,한,,음,,
이해,은,들,는,나,를,항상,봤으,나르,ㄴ다,는,거,그,어,.,그,의,에서,그래서,겠,지,는가,에요,면,싶,이,아니,49,구나,하,,하다,하고,심심,하,시,기,가,name,년,싶,,한,,아,,
데,가,들,야,자기,를,참,전부,바라보,아,ㄹ,거,그렇,어서,.,그,의,에서,그래서,었,지,ㅂ니까,잖아요,지만,않,이,아니,49,구나,하,,하다,이나,심심,하,으시,기,이,name,마리,오,,한,,예,,
무엇,이,들,야,자기,을,아마,걔,되,아,는,거,같,서,.,그,의,에,그런데,었,나가,느냐,ㄴ다,지만,싶,이,아니,1,구나,하,,하다,이랑,심심,하,으시,기,이,name,년,오,,한,,음,,
계획,가,들,도,나,를,아까,얘,하,아,을,것,어떻,게,.,다른,의,에,따라서,었,가지,ㄴ가,ㅂ니다,ㄴ데,싶,이,아니,95,는구나,하,,하다,이나,심심,하,으시,기,가,name,개,오,,한,,음,,
하지,가,들,야,나,을,인제,없어진다고,하,어,은,것,나쁘,어,.,그,의,보다,하지만,었,보,ㄹ까,에요,지만,싶,이,아니,4,구나,하,,하다,이랑,막연,하,시,음,가,name,마리,오,,네,,음,,
오해,이,들,은,나,을,많이,저래,맞,어,은,수,없,는데,.,그,의,에서,그런데,았,지,냐,다고,고,싶,이,아니,5,구나,하,,하다,이나,만만,하,시,기,이,name,년,오,,네,,글쎄,,
요즘,이,들,는,나,을,참,네가,아니,아,은,거,많,라고,.,그,의,보다,그리고,는,지,ㄴ가,잖아요,고,싶,이,아니,10,는구나,하,,동양,에,무난,하,으시,기,이,name,년,하,,네,,음,,
사람,가,들,는,자기,을,굉장히,응,따르,다,ㄴ,중,멋있,여,.,그,의,로,그래서,었,보,을까요,ㄴ대요,고,싶,이,아니,1,는구나,하,,동양,이나,무난,하,시,기,이,name,마리,있,,네,,글쎄,,
엠,가,들,는,뭐,을,그래서,핸,따르,아,은,것,저렇,어야,.,그,의,서,그래서,겠,주,냐,다고,고,싶,이,아니,96,구나,하,,동양,하고,연약,하,시,ㅁ,이,name,마리,오,,네,,음,,
비,이,들,는,뭐,을,그래서,이랬잖아,바라보,다,ㄴ다는,것,이렇,어서,.,그,의,에,그래서,었,있,나,에요,면서,싶,이,아니,95,구나,하,,하다,에,연약,하,시,기,이,name,릴,오,,네,,음,,
티,이,들,만,이거,를,근데,거잖,있,어,는,때문,좋,게,.,그,의,에,그러면,겠,가지,ㄹ라고,다고,고,싶,이,아니,1,구나,하,,대신,고,온순,하,시,기,이,name,마리,오,,네,,음,,
관심,가,들,은,나,를,약간,응,아,아,는,수,그,어,.,그,의,에,그래서,었,않,ㄴ가,아요,고,싶,이,아니,1,구나,하,,칠보산,랑,온순,하,시,기,이,name,마리,오,,네,,글쎄,,
오늘,이,들,라고,나,을,또,응,없었,ㄴ다,ㄴ,거,작,은데,.,저,의,에,그리고,았,지,냐,어요,고,만하,이,아니,1,구나,하,,하다,에다,웬만,하,시,기,가,name,년,오,,한,,음,,
집,이,들,는,그거,을,좀,외로워하,있,다,는,것,너그럽,게,.,이런,의,에서,그래서,였,싶,는가,여야지,고,싶,이,아니,1,는구나,하,,하면,에다,활발,하,시,기,이,name,번,오,,한,,음,,
나의,가,들,도,나,을,좀,휴,아니,아,ㄴ,거,쉽,서,.,그,의,서,그래서,겠,않,냐,야,ㄴ데,푸,이,아니,1,는구나,하,,하다,니,조용,하,시,기,가,name,일,놓,,한,,음,,
엠,이,들,라고,이거,을,좀,잖,몰르,아,ㄹ,때문,같,여,.,그,의,에서,그래서,았,드리,나,잖아요,면,싶,이,아니,1,구먼,하,,동산동,랑,온순,하,시,ㅁ,이,name,가지,오,,네,,음,,
비,이,들,도,자기,를,많이,걔,하,아,는,중,같,어야,.,무슨,의,에,그래서,었,드리,나,아요,고,싶,이,아니,2,구먼,하,,하다,하고,온순,하,시,ㅁ,이,name,원,오,,네,,음,,
티,이,들,는,그거,을,어저께,쭈쭈,그러,어,는,듯,쉽,는데,.,그,의,에,그러니까,었,가지,ㄴ가,아요,면,싶,이,아니,1,구나,하,,하면,에,온순,하,시,기,가,name,마리,있,,네,,음,,
아이,이,들,라고,나,을,안,요스,듣,어,은,거,그렇,으니까,.,그,의,에서,그래서,었,가지,는가,다고,고,싶,이,아니,1,구나,하,,하면,하고,뚜렷,하,시,기,이,name,원,오,,네,,글쎄,,
정확,가,적,는,나,를,다,원해서,있,ㄴ다,ㄴ,때문,부럽,어서,.,그,의,로,그래서,았,지,ㅂ니까,아야지,고,싶,이,아니,70,는군요,하,,맑은,하고,용감,하,시,기,이,name,원,오,,한,,음,,
남,이,들,는,자기,를,없이,걔,있,다,을,거,좋,게,.,그,의,으로,그런데,았,않,냐,대,고,싶,이,아니,조,군요,하,,하다,에,용감,하,시,기,이,name,원,오,,네,,음,,
모,이,들,는,나,을,안,까다로워,안,어,ㄹ,거,부럽,려고,.,무슨,의,에서,그런데,었,보,냐,대요,고,싶,이,아니,1,,하,,파크,에,조용,하,시,기,가,name,년,오,,네,,음,,
