NNP,XSN,JKS,NNG,JX,NP,JKO,MAG,VCP,EC,VV,ETM,NNB,VA,EF,SF,MM,JKG,JKB,MAJ,EP,VX,JKC,VCN,XSV,VV-R,VA-I,VV-I,IC,SN,XSA,NR,JKQ,XR,XPN,ETN,JC,SL,XSA-I,VA-R,Z_CODA,JKV,XSM
엠비,이,가,본성,도,나,을,일단,이,어야,대하,ᆫ,중,있,어,.,저,의,랑,그래서,었,주,이,아니,하,받,너그럽,듣,어,60,하,하나,라고,똑똑,재,ᆷ,과,name,스럽,,ᆻ,,
티아,들,가,본성,는,나,를,가득,이,어서,고치,을,거,있,잖아,.,저,의,랑,그러면,었,주,이,아니,하,받,고맙,눕,아유,4,하,하나,라고,똑똑,무,음,과,name,스럽,,ᆺ,,
엠비,이,가,약간,ᆫ,나,를,역시,이,고,따르,은,거,있,거든,.,저,의,에,그러면,겠,있,이,아니,하,얻,그렇,낫,이제,4,하,둘,라고,똑똑,무,ᆷ,나,name,스럽,,ᆻ,,
티아,이,이,상황,는,나,을,인제,이,어서,바뀌,는,거,있,야,.,그,의,에,그러면,었,주,이,아니,하,얻,어떻,듣,그래,4,하,오,라고,비슷,대,ᆷ,나,name,롭,,ᆫ,,
엠비,적,가,사람,는,나,를,너무,이,면,대하,ᆯ,수,없,지,.,저,의,에,그러면,었,보,이,아니,되,받,이렇,걷,마,4,하,오,라고,똑똑,재,ᆷ,이랑,name,롭,,ᇀ,,
티아,적,가,노력,는,나,을,너무,이,면,바꾸,는,거,없,어요,.,그,의,에,근데,었,지,가,아니,하,잡,아름답,짓,인제,10,하,하나,라고,기특,재,ᆷ,나,name,롭,,ᆫ,,
엠비,끼리,가,사람,은,나,을,혹시,이,은데,보,을,거,있,어요,.,그,의,에,그래서,었,지,가,아니,하,잡,이렇,듣,그래,20,하,둘,라고,난처,재,ᆷ,이나,name,롭,,ᆻ,,
티아,님,이,처음,는,나,를,너무,이,어,보,ᆫ,데,없,야,.,그,의,으로써,근데,시,나가,가,아니,하,잡,너그럽,걷,인제,10,하,둘,라고,똑똑,한,기,나,name,스럽,,ᆻ,,
이퀄,적,가,때,는,나,을,너무,이,지만,보,는,수,같,잖아,.,이,의,에,그리고,었,보,가,아니,하,뻗,아름답,짓,아우,3,하,하나,라고,이러,무,음,이나,name,스럽,,ᆺ,,
마포,적,이,말,는,나,을,왜냐하면,이,라,하,는,거,있,나,?,그,의,에서,그러나,었,지,가,아니,하,입,어떻,걷,어,1,하,둘,라고,심,제,ᆷ,하고,name,스럽,,ᆨ,,
정,적,가,쑥덕쑥덕,은,나,을,또,이,어서,만들,다는,거,있,야,.,그,의,에,그런데,었,싶,이,아니,하,잡,아름답,걷,어,1,하,둘,라고,이러이러,재,기,이나,name,스럽,,ᆨ,,
정,적,가,때,도,나,를,또,이,어,들어가,ᆫ,수,있,지,.,그,의,에,그래서,었,싶,이,아니,하,잡,아름답,짓,아,1,하,셋,라고,그러,재,기,이나,name,스럽,,ᆨ,,
엠비,적,이,외향,도,나,를,굉장히,이,고,하,ᆫ,수,있,잖아,.,한,의,에,그리고,었,주,가,아니,하,뽑,아름답,잇,어,1,하,셋,라고,먹먹,제,기,과,name,롭,,ᆽ,,
티아,적,이,검사,은,나,ᆯ,오늘,이,게,만들,는,수,좋,구나,.,여러,의,ᆯ로,그래서,었,하,가,아니,하,받,이렇,짓,뭐,2,하,넷,라고,쾌적,재,기,과,name,답,,ᆻ,,
형석,적,가,스스로,도,뭐,을,한번,이,면,그러,는,수,있,구나,.,이,의,랑,근데,었,주,가,아니,하,받,그렇,짓,그래,8,하,오,라고,한적,재,기,이나,name,스럽,,ᆻ,,
식기세척기,적,가,내성,은,그거,ᆯ,좀,이,을까,좋아하,ᆯ,데,쓸데없,ᆫ지,.,여러,의,에,그리고,었,싶,이,아니,하,믿,이렇,걷,저기,1,하,하나,라고,활발,불,기,이나,name,스럽,,ᆻ,,
기라,적,가,에너지,뿐이,나,을,다,이,면서,읽,다는,거,좋,다,.,모든,의,에,또,었,싶,이,아니,하,믿,그렇,묻,그래,1,하,둘째,라고,평평,불,기,라든가,name,스럽,,,,
에른,적,가,때,밖에,나,를,왜,이,든가,읽,라는,것,어리,네,.,그,의,에서,그리고,었었,하,가,아니,하,받,이렇,묻,아,1,하,하나,라고,한적,재,기,이나,name,스럽,,,,
유,끼리,이,사람,은,나,를,안,이,든가,그러,는,수,있,구나,.,그,의,에서,그래서,었,않,이,아니,하,받,어떻,듣,어,1,하,하나,라고,편,불,기,이나,name,롭,,,,
프랑스,적,이,동굴,도,나,을,굉장히,이,든가,찾,ᆯ,수,있,어,.,그,의,에서,근데,었,싶,이,아니,하,묻,어떻,듣,아,1,하,둘,라고,한적,제,기,와,name,스럽,,,,
프랑스,씩,가,스스로,도,나,를,많이,이,면서,통하,는,수,어떠하,네,.,그,의,에서,왜냐하면,었,있,이,아니,하,받,어떻,듣,그래,2,하,사,,시원,재,기,과,xx,스럽,,,,
정,씩,가,에너지,는,나,을,많이,이,으면서,하,ᆫ,것,깊,거든,.,그,의,에,그리고,었,않,가,아니,하,물어뜯,그렇,듣,아우,1,하,둘,,번잡,대,기,나,name,스럽,,,,
둘레길,들,가,음악,ᆫ,뭐,을,많이,이,라,있,ᆯ,수,깊,어,.,어떤,의,에,그래서,시,놓,이,아니,하,얻,그렇,듣,아,1,하,둘,,바람직,가,기,이나,name,스럽,,,,
코로나,님,가,책,부터,나,를,다시,이,게,통하,ᆯ,거,있,다,?,어떤,의,에서,그래서,었,싶,이,아니,하,받,쉽,듣,아,1,하,몇,,조그마,대,기,이나,name,스럽,,,,
코로나,님,가,절,은,나,을,너무,이,어서,끌어올리,ᆯ,번,같,어,.,어떤,의,에,그래서,었,보,가,아니,시키,받,그렇,듣,어,1,하,하나,,활달,쌩,ᆷ,과,name,스럽,,,,
코로나,님,가,철학,만,나,을,찡,이,어,시키,ᆯ,수,높,나,?,이,의,로,근데,시,주,이,아이,하,받,그렇,짓,어,1,하,첫째,,당당,비,기,과,name,스럽,,,,
인제,님,가,책,부터,나,을,또,이,으면,하,는,중,신기하,더라고,.,이,의,으로,그래서,었,않,가,아이,하,잡,그렇,듣,아,1,하,일,,조용,원,기,이나,name,스럽,,,,
삼성,님,이,에너지,까지,나,을,꼭,이,어서,속하,을,수,있,다,.,다른,의,에,그래서,었,않,이,아니,하,받,그렇,듣,참,1,하,사,,순진,대,ᆷ,이나,name,롭,,,,
인천,씩,이,형,도,우리,을,상관없이,이,면서,하,라는,거,있,더라,.,이,의,보다,그래서,었,않,가,아니,하,받,그렇,줍,그래,1,하,하나,,유익,대,기,이나,name,롭,,,,
연변,이,이,사람,도,나,ᆯ,참,이,고,계시,ᆯ,지,있,더라고,.,그런,의,에,그래서,었,있,이,아니,하,받,그렇,듣,참,1,하,하나,,똑똑,한,기,이나,name,롭,,,,
한국,들,가,에너지,는,나,을,좀,이,게,하,ᆯ,지,같,어,.,그런,의,에서,그래서,겠,지,이,아니,하,접,그렇,듣,아,1,하,사,,멍청,비,기,니,name,스럽,,,,
코로나,들,이,충전,는,얘,을,너무,이,게,물어보,ᆯ,지,틀리,어,.,그런,의,에,그래서,겠,하,이,아니,하,접,어떻,듣,그,1,하,몇,,활발,제,기,이나,name,스럽,,,,
연변,들,가,집,도,그것,을,또한,이,어,맞,는,년,어리,잖아,.,이,의,으로,근데,겠,주,가,아니,하,씻,이렇,듣,인제,1,하,영,,반듯,대,기,나,name,스럽,,,,
마을버스,적,이,에너지,도,그것,을,좀,이,지만,그러,ᆯ,가지,같,ᆫ대,.,그,의,에,그래서,었,있,가,아니,하,뽑,이렇,듣,그,2,하,이,,끔찍,재,ᆷ,나,name,롭,,,,
서서,들,가,다운,도,우리,을,그냥,이,는데,그러,는,수,같,지,.,그,의,에,그래도,었,있,이,아니,하,뽑,고맙,듣,뭐,100,하,몇,,무정,재,기,이나,name,스럽,,,,
방울토마토,심,이,때,는,우리,을,당연히,이,냐,알,은,것,같,어,.,그런,의,으로,그래서,었,있,이,아니,하,뽑,너그럽,돕,뭐,1,하,이,,쓸쓸,재,기,이나,art,스럽,,,,
대도시,성,가,집,은,이거,를,이제,이,면,대하,는,것,같,어,.,어떤,의,에,그래서,었,싶,이,아니,하,뽑,쉽,돕,고,1,하,이,,마땅,신,기,이나,name,스럽,,,,
수혜,들,이,다운,는,나,을,이제,이,라고,들,은,것,있,어,?,그,의,에,그리고,었,있,이,아니,하,뽑,쉽,듣,어,1,하,하나,,어떡,비,기,나,name,스럽,,,,
런던,적,이,사람,는,나,을,또,이,더니,모르,을,수,같,ᆯ까,.,그런,의,에,그리고,었,있,이,아니,하,잡,그렇,돕,그,100,하,몇,,마땅,제,기,이나,name,스럽,,,,
파리,성,이,잠재,는,나,을,또,이,다,하,ᆫ,수,같,나,.,어떤,의,으로써,그러니까,었,있,이,아니,하,씻,부럽,듣,어,2,하,하나,,편,제,ᆷ,이나,name,스럽,,,,
파리,성,이,에너지,는,나,을,이제,이,게,하,ᆯ,수,있,어,.,어떤,의,으로써,근데,었,가지,이,아니,하,씹,그렇,듣,뭐,2,하,하나,,넉넉,대,기,나,name,스럽,,,,
한국,들,가,충전,는,이것,을,또,이,고,갖,ᆯ,거,같,어,.,이,의,에,그래서,겠,있,이,아니,하,씹,부럽,듣,뭐,100,하,사,,중요,대,기,이랑,name,스럽,,,,
제주도,들,가,형,ᆫ,우리,를,인제,이,어,들어가,라는,차,같,어,.,그,의,로,근데,겠,있,이,아니,하,잡,그렇,짓,뭐,2,하,둘째,,사소,제,ᆷ,하고,name,롭,,,,
해운대,적,이,생각,은,우리,을,진짜,이,어서,되,ᆫ,차,같,어,.,한,의,하고,근데,었,싶,이,아니,하,씻,부드럽,짓,뭐,2,하,만,,웬만,재,기,하고,name,스럽,,,,
해운대,적,이,직장,만,거기,을,확연히,이,어서,바라보,은,차,젊,잖아,.,그,의,하고,왜냐하면,었,싶,이,아니,하,벗,부드럽,농사짓,뭐,1,하,몇,,웬만,대,기,과,name,스럽,,,,
엘시티,적,이,매니저,만,이것,을,이렇게,이,다면,되,은,차,있,잖아,.,저런,의,한테,근데,었,하,이,아니,하,접,이렇,짓,뭐,2,하,하나,,웬만,저,기,나,company,,,,,
부산,적,이,생각,는,나,를,이제,이,다면,하,ᆫ,차,같,야,.,저런,의,으로,그리고,었,싶,이,아니,하,받,이렇,묻,뭐,2,하,만,,웬만,부,기,이나,company,,,,,
부산,째,이,계획,은,자기,을,찡,이,게,하,ᆫ,차,없,잖아,.,그런,의,에,근데,었,않,이,아니,받,받,그렇,듣,그,2,하,만,,뚜렷,대,기,이나,company,,,,,
부산,들,이,사람,는,뭐,을,막,이,게,모르,ᆫ,차,있,잖아,.,그런,의,보다,그래서,었,보,가,아니,하,받,어떻,듣,그,2,하,만,,비슷,대,기,이랑,address,,,,,
해운대,들,가,매니저,는,나,을,감히,이,어서,맞,ᆯ,차,없,잖아,.,그런,의,처럼,또한,었,갖,이,아니,하,받,그렇,눕,그래,1,하,만,,허술,대,기,이나,company,,,,,
자갈치,씩,가,사람,은,거기,을,감히,이,게,따르,ᆫ,거,같,잖아,.,그런,의,에,그러면,었,있,이,아니,하,받,이렇,짓,그,1,하,백,,깔끔,한,기,나,company,,,,,
태종대,들,가,이해,은,이것,을,왜,이,게,따르,ᆫ,거,같,어,.,그,의,으로,근데,었,있,가,아니,하,받,그렇,짓,모,2,하,둘,,예민,무,ᆷ,고,company,,,,,
태종대,들,이,예,는,뭐,을,이렇게,이,어야,바라보,ᆫ다는,차,깊,어,.,그,이,에,그래서,었,보,이,아니,하,받,어떻,짓,어,2,하,하나,,민감,대,기,하고,name,,,,,
부산,들,가,사람,은,뭐,을,정말,이,ᆫ다는데,모르,ᆯ,수,있,구나,.,그,의,과,근데,었,싶,가,아니,하,받,그렇,듣,아,2,하,하나,,귀,소,기,하고,name,,,,,
태종대,들,가,만약,는,그거,을,가장,이,는지,하,ᆯ,수,없,어,.,어느,의,보다,그래도,겠,싶,이,아니,하,받,그렇,듣,뭐,2,하,둘,,풍족,여,기,하고,name,,,,,
대마도,들,가,제,도,나,을,너무,이,면,하,는,거,깊,라고,.,어떤,의,으로써,그래서,었,않,이,아니,하,얻,이렇,듣,아,2,하,하나,,꼼꼼,초,기,와,name,,,,,
대마도,들,이,사람,은,이거,을,너무,이,어서,있,ᆯ,거,좋,다,.,한,의,에,그러면,겠,싶,이,아니,하,솟,부드럽,듣,뭐,2,하,둘째,,쪼그만,미,음,이나,name,,,,,
힐링,들,가,이해,은,나,를,너무,이,어서,안,는,거,있,거든,.,한,의,에,근데,었,하,이,아니,하,닫,부드럽,듣,뭐,1,하,둘,,시원,저,기,이나,name,,,,,
부산,씩,가,계획,는,자기,를,늘,이,고,되,을,수,많,야,.,어떤,의,에,그리고,었,하,이,아니,하,닫,이렇,걷,뭐,1,하,몇,,적적,제,기,이나,name,,,,,
부산,들,가,오해,는,우리,를,또,이,니까,갖,은,거,옳,야,.,이,의,으로,그래서,었,하,이,아니,하,닫,이렇,눕,아니,30,하,둘째,,만만,제,기,과,name,,,,,
부산역,들,이,요즘,은,나,을,지금,이,게,바꾸,은,수,벅차,야,.,이,의,에,그러니까는,었,주,가,아니,하,닫,이렇,눕,그,65,하,둘,,멍멍,제,음,하고,name,,,,,
시티,적,가,사람,은,자기,을,가끔,이,고,되,ᆫ,수,힘들,을까,?,내,의,에,그러니까,시,가,가,아니,하,닫,어떻,눕,어,65,하,열,,신기,생,음,라든지,name,,,,,
시티,들,가,관심,은,자기,를,가끔,이,으니까,알리,ᆫ,거,크,더라고,.,그,의,랑,그런데,으시,보,이,아니,하,웃,그렇,눕,뭐,2,하,하나,,신기,부,기,와,name,,,,,
해운대,네,가,집,은,그것,을,완전히,이,면,대하,는,수,있,거든,.,그,의,에,그럼,시,보,이,아니,하,웃,그렇,짓,참,5,하,열,,지저분,무,기,이나,name,,,,,
송정,들,이,정확,ᆫ,나,을,참,이,다고,하,는,거,있,어,.,저,이,에,근데도,시,지,이,아니,하,걷,그렇,묻,아유,1,하,하나,,깨끗,대,기,하고,xxxx,,,,,
롯데,씩,이,남,는,이거,을,항상,이,면,그러,ᆫ,말,다르,거든,.,그,의,에,그래서,시,있,이,아니,하,웃,쉽,듣,이제,75,하,일,,깨끗,생,기,하고,name,,,,,
롯데,적,이,말,도,이거,를,너무,이,다고,만나,은,때문,있,지,.,그런,의,에서,근데,었,않,이,아니,하,잡,이렇,짓,뭐,10,하,억,,깨끗,한,기,하고,name,,,,,
해동용궁사,씩,가,성향,는,너,를,너무너무,이,면,생기,ᆯ,거,있,지,.,어떤,의,에,그래도,었,가,이,아니,하,받,저렇,짓,뭐,10,하,만,,깨끗,제,기,과,name,,,,,
태종대,들,가,사람,은,나,를,너무,이,고,하,은,거,많,ᆫ다,.,그런,의,에서,그래서,시,못하,가,아니,하,집,저렇,듣,인제,49,하,하나,,심심,제,기,와,name,,,,,
태종대,들,이,사람,은,자기,를,못,이,게,하,은,때문,없,냐고,.,이,의,에,그래서,었,하,이,아니,하,집,그렇,듣,뭐,49,하,하나,,심심,제,ᆷ,하고,name,,,,,
영도,들,가,형,는,나,을,다시,이,어,맺,ᆯ,거,같,지,.,그,의,처럼,그래도,었,않,이,아니,하,받,부드럽,듣,아이,1,하,몇,,심심,제,기,과,name,,,,,
어,들,이,행동,는,나,를,항상,이,고,먹,는,것,많,지,.,그런,의,에,그러니까는,었,싶,이,아니,하,받,그렇,짓,응,95,하,하나,,심심,재,ᆷ,과,name,,,,,
산토리,씩,이,사고,은,우리,을,참,이,어,느끼,ᆫ,거,같,야,.,그런,의,으로,근데,었,않,이,아니,하,받,그렇,걷,아유,4,하,일,,막연,재,기,와,name,,,,,
자갈치,들,이,사람,이야말로,나,을,아마,이,라고,사귀,은,명,같,ᆫ다고,.,그,의,에,그러니까,겠,싶,이,아니,하,뵙,그렇,듣,아휴,5,하,만,,만만,재,기,나,affiliation,,,,,
자갈치,들,가,이해,이야말로,나,를,아까,이,고,만나,는,명,나쁘,야,.,그,의,하고,그렇다고,었,않,이,아니,하,받,그렇,짓,뭐,10,하,둘,,연약,대,기,이나,name,,,,,
송도,적,가,사람,는,자기,을,인제,이,어야,나누,을,번,있,야,.,그런,의,으로,그래도,겠,있,이,아니,하,받,그렇,듣,뭐,1,하,구,,연약,,라기,이나,company,,,,,
운남,적,이,이해,는,나,을,많이,이,어,밀,ᆯ,거,없,어,.,그,의,으로,근데,었,가,가,아니,하,받,그렇,듣,저,96,하,구,,온순,,기,이나,company,,,,,
유라,들,가,시간,도,저희,를,참,이,어서,먹,는,거,있,야,.,저,의,과,그러니까,시,가지,이,아니,하,묻,그렇,짓,뭐,95,하,만,,웬만,,기,이나,company,,,,,
부산,적,이,사람,은,나,을,굉장히,이,어서,되,ᆯ,수,많,어,.,어떤,의,에,근데,었,가지,이,아니,하,뽑,그렇,짓,뭐,1,하,만,,활발,,기,이나,xxx,,,,,
부산,들,이,이해,는,나,를,어떻게,이,어,따르,는,수,멋있,어,.,그런,의,에서,그리고,었,가지,이,아니,하,묻,그렇,짓,뭐,1,하,오,,조용,,기,이나,name,,,,,
통도사,네,이,용서,도,나,를,약간,이,어도,되,을,수,좋,어,.,저런,의,에서,그리고,겠,주,이,아니,하,때려잡,그렇,듣,뭐,1,하,만,,온순,,기,이나,name,,,,,
통도사,들,이,사람,도,누구,를,또,이,다,통하,는,데,작,거든,.,그런,의,에,근데,었,가지,이,아니,하,잡,그렇,듣,그러게,1,하,오,,유약,,기,이나,name,,,,,
양산,적,이,장점,은,나,을,좀,이,면,만나,은,거,같,잖아,.,다른,의,에,그러니까,었,가지,이,아니,하,씻,그렇,잇,아유,1,하,몇,,온순,,기,하고,name,,,,,
통도사,적,이,짓,는,그것,를,좀,이,고,통하,은,것,같,거든,.,저,의,에,근데,었,주,가,아니,하,씻,그렇,듣,그,1,하,하나,,고약,,기,하고,name,,,,,
통도사,들,이,생각,은,자기,을,좀,이,고,가지,은,거,좋,어,.,모든,의,에서,그래도,었,가지,이,아니,하,얻,그렇,짓,으,2,하,하나,,온순,,기,하고,name,,,,,
말사,들,이,오늘,요,자기,을,많이,이,ᆫ데,맞,던,수,유하,어,.,여러,의,에서,그러니까,었,하,이,아니,하,믿,그렇,짓,아,1,하,둘,,뚜렷,,기,하고,name,,,,,
기장,들,가,생각,는,나,을,어저께,이,고,그러,던,거,있,다,.,세,의,에다,근데,었,보,가,아니,하,씻,이렇,듣,아,1,하,하나,,은근,,기,나,name,,,,,
부산,들,가,자체,도,자기,을,왈,이,게,맞,은,거,있,지,.,두,의,에,근데,겠,가지,가,아니,하,잡,그렇,휘젓,아니,70,하,하나,,강,,ᆷ,하고,name,,,,,
부산,들,이,자체,는,나,를,안,이,면서,올라가,ᆫ다는,거,있,다,.,그런,의,에,그러니까는,시,보,이,아니,하,잡,그렇,걷,아이,1,하,하나,,용감,,기,라든가,name,,,,,
해운대,들,가,우정,요,나,을,다,이,어,자라,는,거,없,는데,.,그,의,보다,또,었,주,이,아니,하,잡,그렇,묻,아,1,하,둘,,용감,,기,나,name,,,,,
해운대,적,가,생각,도,그것,을,없이,이,는지,하,은,지,슬프,거든,.,그,의,에서,그래도,겠,보,이,아니,하,웃,그렇,묻,뭐,10,하,첫째,,조용,,기,하고,name,,,,,
동백섬,님,이,우정,은,나,를,안,이,으니까,되,는,개월,똑같,지,.,그,의,보다,근데,으시,않,이,아니,하,웃,쉽,묻,뭐,2,하,일,,독특,,기,하고,name,,,,,
홍콩,님,이,말,는,자기,를,가끔,이,어,되,은,개월,없,잖아,.,그,의,로,그래도,었,있,가,아니,되,웃,그렇,걷,뭐,1,하,둘,,조용,,기,하고,name,,,,,
광안대교,들,가,우정,는,나,을,쪼끔,이,ᆫ데,생기,ᆯ,개월,있,야,.,그,의,서,그래도,었,말,이,아니,하,본받,그렇,굽,뭐,1,하,만,,비슷,,기,랑,name,,,,,
해운대,들,가,생각,는,나,을,많이,이,고,되,는,년,있,야,.,그,의,에,그래서,었,말,가,아니,하,잡,그렇,굽,뭐,1,하,둘,,굉장,,기,랑,name,,,,,
북극,들,이,때,ᆫ,자기,을,안,이,어,되,는,년,없,죠,.,다른,의,에,그래도,겠,하,이,아니,하,본받,그렇,걷,참,3,하,둘째,,긴가민가,,기,이랑,name,,,,,
광안리,들,가,지금,만,자기,을,같이,이,니까,하,은,거,있,어,.,그런,의,대로,근데,었,주,이,아니,하,입,그렇,걷,인제,1,하,둘째,,시큰둥,,기,이라든지,name,,,,,
아,님,가,사회,은,뭐,를,더,이,고,달라지,을,거,좋,지,.,그,의,에,근데,었,죽,이,아니,하,잡,외롭,걷,아이고,1,하,둘,,조용,,라기,이나,name,,,,,
광안대교,네,이,관계,는,나,을,왜냐하면,이,고,하,ᆯ,거,같,다고,.,그,의,에,그래서,었,지,이,아니,하,이르,그렇,듣,아니,30,하,십,,아늑,,라기,나,name,,,,,
부산,씩,이,학업,도,거기,을,아까,이,게,갖,ᆯ,것,좋,다고,.,그,의,에서,그래서,시,있,가,아니,하,받,낫,듣,아유,1,하,만,,아담,,기,하고,name,,,,,
경주,들,가,친구,도,나,를,다,이,어,갖,은,때문,좋,어,.,그,의,에서,그러니까는,었,보,이,아니,하,웃,낫,듣,뭐,1,하,만,,소담,,기,이라든지,name,,,,,
경주,들,가,우정,ᆫ,자기,를,곧,이,고,대하,ᆯ,수,있,야,.,어떤,의,에,하지만,었,가지,이,아니,하,받,낫,짓,뭐,1,하,사,,소박,,기,라든지,name,,,,,
경주,들,이,시기,도,나,을,곧,이,어서,떠나,ᆯ,거,좋,랄까,?,그,의,에서,그래서,었,가지,가,아니,하,닫,그렇,짓,그,1,하,억,,활발,,기,이나,name,,,,,
보문단지,님,가,공감,는,자기,를,또,이,고,되,는,것,많,야,.,그,의,로,근데,었,가지,이,아니,되,씻,이렇,짓,인제,50,하,억,,당연,,기,이랑,name,,,,,
신라,들,이,소통,은,자기,을,서로,이,어서,바라보,ᆫ,거,같,지,.,모든,의,으로,그래서,었,가지,이,아니,되,받,외롭,걷,이제,5,하,억,,조용,,기,라든지,name,,,,,
경주,들,가,사람,ᆫ,나,을,서로,이,게,바라보,ᆫ,중,많,더라고,.,그,의,에서,그래서,었,하,이,아니,하,잡,이렇,걷,그,10,하,몇십,,사소,,기,이나,name,,,,,
신라,들,이,우정,는,나,을,굉장히,이,게,먹,ᆫ,거,같,잖아,.,저,의,하고,그래서,겠,주,가,아니,하,웃,저렇,굽,이제,1,하,열,,깨끗,,기,이나,name,,,,,
경주,님,이,나이,는,나,을,또,이,을수록,들,ᆫ,거,모나,다,.,그런,의,한테,그래도,었,가지,이,아니,하,잡,그렇,듣,뭐,1,하,열,,멀쩡,,기,이나,xx,,,,,
경주,들,가,예전,는,나,을,딱,이,ᆯ수록,사,ᆫ,거,모나,다,.,이런,에,에,근데,시,가지,가,아니,하,받,그렇,듣,뭐,1,하,하나,,척박,,음,이나,name,,,,,
부산,님,이,우정,는,자기,을,굉장히,이,어,하,는,거,있,거든,.,그,의,에,그래서,었,가지,가,아니,하,받,그렇,젓,뭐,2,하,몇,,척박,,ᆷ,하고,name,,,,,
밀양,네,이,나이,는,나,을,약간,이,면,그러,ᆫ,거,모나,을까,.,모든,의,에,또,었,가지,이,아니,하,받,그렇,듣,아유,10,하,하나,,척박,,기,하고,name,,,,,
부산,적,이,우정,는,나,을,좀,이,으니까,그러,ᆫ,거,아프,어,.,그,의,에,또,시,있,이,아니,하,받,이렇,걷,으,1,하,만,,적당,,기,나,name,,,,,
부산,님,이,정리,는,그거,을,못,이,라고,내,ᆫ,거,아프,으니까,?,무슨,의,으로,그래도,겠,나,이,아니,하,꼽,그렇,듣,그래,1,하,삼,,느긋,,기,나,name,,,,,
부산,상,가,공감,은,나,을,저렇게,이,어서,사귀,을,거,없,다,.,그,의,으로,근데,었,않,가,아니,하,받,그렇,찾아뵙,그래,1,하,만,,대단,,기,나,name,,,,,
부산역,적,이,의식,는,이거,을,많이,이,면,만나,는,거,있,ᆫ다,.,그,의,보다,그래서,었었,주,가,아니,하,받,춥,듣,아유,1,하,만,,둥그스름,,기,이랑,name,,,,,
북,들,이,철학,만,자기,를,굉장히,이,게,넘기,ᆯ,것,같,어,.,네,의,에서,근데,시,주,이,아니,하,받,그렇,듣,아이,1,하,만,,불쌍,,기,이나,name,,,,,
북,들,이,성향,는,그것,ᆯ,잘,이,고,만나,는,점,궁금하,ᆫ가,.,그런,의,에서,근데,었었,않,이,아니,되,웃,춥,알아듣,뭐,2,하,만,,웅장,,기,하고,xxx,,,,,
